id;id_loja;departamento;setor;sistema_entrega;classe;nome_produto;data_ult_entr;estoque
6798;2;MERCEARIA NAO ALIMENTOS;PRODUTOS DE LIMPEZA;cross_docking;E;DESENTUPIDOR DIABO VERDE PIAS RALOS 300G;01/04/2024;7.0
6798;3;MERCEARIA NAO ALIMENTOS;PRODUTOS DE LIMPEZA;cross_docking;E;DESENTUPIDOR DIABO VERDE PIAS RALOS 300G;01/04/2024;8.0
6798;7;MERCEARIA NAO ALIMENTOS;PRODUTOS DE LIMPEZA;cross_docking;E;DESENTUPIDOR DIABO VERDE PIAS RALOS 300G;01/04/2024;0.0
6798;9;MERCEARIA NAO ALIMENTOS;PRODUTOS DE LIMPEZA;cross_docking;E;DESENTUPIDOR DIABO VERDE PIAS RALOS 300G;01/04/2024;0.0
6798;99;MERCEARIA NAO ALIMENTOS;PRODUTOS DE LIMPEZA;supplier;E;DESENTUPIDOR DIABO VERDE PIAS RALOS 300G;26/01/2024;0.0
6808;10;BEBIDAS;DESTILADOS NACIONAIS;cross_docking;E;CONHAQUE 970ML PRESIDENTE;25/03/2024;0.0
6808;2;BEBIDAS;DESTILADOS NACIONAIS;cross_docking;E;CONHAQUE 970ML PRESIDENTE;27/09/2023;5.0
6814;10;PERFUMARIA;PRODUTOS PARA CABELO;cross_docking;E;GEL BOZZANO ACAO PROLONGADA FORTE 300G;;0.0
6814;4;PERFUMARIA;PRODUTOS PARA CABELO;cross_docking;E;GEL BOZZANO ACAO PROLONGADA FORTE 300G;06/02/2024;0.0
6834;10;BEBIDAS;DERIVADOS DE SOJA;cross_docking;E;SUCO 1L MACA ADES;22/02/2024;0.0
6834;3;BEBIDAS;DERIVADOS DE SOJA;cross_docking;E;SUCO 1L MACA ADES;22/12/2023;12.0
6834;9;BEBIDAS;DERIVADOS DE SOJA;cross_docking;E;SUCO 1L MACA ADES;17/02/2024;0.0
6835;1;BEBIDAS;DERIVADOS DE SOJA;cross_docking;E;SUCO 1L PESSEGO ADES;16/02/2024;0.0
6835;2;BEBIDAS;DERIVADOS DE SOJA;cross_docking;E;SUCO 1L PESSEGO ADES;21/02/2024;1.0
6836;10;BEBIDAS;DERIVADOS DE SOJA;cross_docking;E;SUCO 1L UVA ADES;20/03/2024;0.0
6836;7;BEBIDAS;DERIVADOS DE SOJA;cross_docking;E;SUCO 1L UVA ADES;16/02/2024;0.0
6837;9;BEBIDAS;DERIVADOS DE SOJA;cross_docking;E;BEB 1L ADES CALCIO ORIGINAL;17/02/2024;0.0
6860;1;MERCEARIA ALIMENTOS;PRODUTOS NATURAIS;cross_docking;E;LUPULO STADLER PRENSADO 100G;08/02/2024;10.0
6860;2;MERCEARIA ALIMENTOS;PRODUTOS NATURAIS;cross_docking;E;LUPULO STADLER PRENSADO 100G;03/02/2024;11.0
6860;3;MERCEARIA ALIMENTOS;PRODUTOS NATURAIS;cross_docking;E;LUPULO STADLER PRENSADO 100G;03/02/2024;9.0
6860;4;MERCEARIA ALIMENTOS;PRODUTOS NATURAIS;cross_docking;E;LUPULO STADLER PRENSADO 100G;03/02/2024;0.0
6860;7;MERCEARIA ALIMENTOS;PRODUTOS NATURAIS;cross_docking;E;LUPULO STADLER PRENSADO 100G;06/02/2024;0.0
6860;9;MERCEARIA ALIMENTOS;PRODUTOS NATURAIS;cross_docking;E;LUPULO STADLER PRENSADO 100G;08/02/2024;0.0
6860;99;MERCEARIA ALIMENTOS;PRODUTOS NATURAIS;supplier;E;LUPULO STADLER PRENSADO 100G;02/02/2024;0.0
6865;1;MERCEARIA ALIMENTOS;ALIMENTOS EMPACOTADOS;cross_docking;E;FARINHA MAND 500G FLOCADA BIJU YOKI;30/01/2024;22.0
6865;4;MERCEARIA ALIMENTOS;ALIMENTOS EMPACOTADOS;cross_docking;E;FARINHA MAND 500G FLOCADA BIJU YOKI;30/01/2024;0.0
6865;7;MERCEARIA ALIMENTOS;ALIMENTOS EMPACOTADOS;cross_docking;E;FARINHA MAND 500G FLOCADA BIJU YOKI;29/02/2024;0.0
6865;99;MERCEARIA ALIMENTOS;ALIMENTOS EMPACOTADOS;supplier;E;FARINHA MAND 500G FLOCADA BIJU YOKI;28/02/2024;0.0
6866;1;PERFUMARIA;HIGIENE PESSOAL;cross_docking;E;ABS C8 SEMPRE LIVRE NOTURNO SUAVE ABA;12/02/2024;6.0
6866;10;PERFUMARIA;HIGIENE PESSOAL;cross_docking;E;ABS C8 SEMPRE LIVRE NOTURNO SUAVE ABA;;0.0
6866;2;PERFUMARIA;HIGIENE PESSOAL;cross_docking;E;ABS C8 SEMPRE LIVRE NOTURNO SUAVE ABA;23/01/2024;0.0
6866;3;PERFUMARIA;HIGIENE PESSOAL;cross_docking;E;ABS C8 SEMPRE LIVRE NOTURNO SUAVE ABA;12/02/2024;14.0
6866;4;PERFUMARIA;HIGIENE PESSOAL;cross_docking;E;ABS C8 SEMPRE LIVRE NOTURNO SUAVE ABA;13/02/2024;0.0
6866;99;PERFUMARIA;HIGIENE PESSOAL;supplier;E;ABS C8 SEMPRE LIVRE NOTURNO SUAVE ABA;12/02/2024;0.0
6868;1;PERFUMARIA;HIGIENE PESSOAL;cross_docking;E;PROT CAREFREE ORIGINAL C PERFUME C15;12/03/2024;12.0
6868;10;PERFUMARIA;HIGIENE PESSOAL;cross_docking;E;PROT CAREFREE ORIGINAL C PERFUME C15;;0.0
6868;2;PERFUMARIA;HIGIENE PESSOAL;cross_docking;E;PROT CAREFREE ORIGINAL C PERFUME C15;15/03/2024;8.0
6868;3;PERFUMARIA;HIGIENE PESSOAL;cross_docking;E;PROT CAREFREE ORIGINAL C PERFUME C15;17/11/2023;2.0
6868;7;PERFUMARIA;HIGIENE PESSOAL;cross_docking;E;PROT CAREFREE ORIGINAL C PERFUME C15;08/12/2023;0.0
6868;9;PERFUMARIA;HIGIENE PESSOAL;cross_docking;E;PROT CAREFREE ORIGINAL C PERFUME C15;13/02/2024;0.0
6868;99;PERFUMARIA;HIGIENE PESSOAL;supplier;E;PROT CAREFREE ORIGINAL C PERFUME C15;11/03/2024;0.0
6869;1;PERFUMARIA;HIGIENE PESSOAL;cross_docking;E;PROT CAREFREE S PERFUME C15;12/03/2024;12.0
6869;2;PERFUMARIA;HIGIENE PESSOAL;cross_docking;E;PROT CAREFREE S PERFUME C15;13/12/2023;7.0
6869;4;PERFUMARIA;HIGIENE PESSOAL;cross_docking;E;PROT CAREFREE S PERFUME C15;25/01/2024;0.0
6869;99;PERFUMARIA;HIGIENE PESSOAL;supplier;E;PROT CAREFREE S PERFUME C15;11/03/2024;0.0
6870;1;MERCEARIA ALIMENTOS;ALIMENTOS EMPACOTADOS;cross_docking;E;TRIGO KIBE 500G YOKI;30/01/2024;15.0
6870;2;MERCEARIA ALIMENTOS;ALIMENTOS EMPACOTADOS;cross_docking;E;TRIGO KIBE 500G YOKI;31/01/2024;16.0
6870;7;MERCEARIA ALIMENTOS;ALIMENTOS EMPACOTADOS;cross_docking;E;TRIGO KIBE 500G YOKI;12/12/2023;0.0
6870;99;MERCEARIA ALIMENTOS;ALIMENTOS EMPACOTADOS;supplier;E;TRIGO KIBE 500G YOKI;28/02/2024;0.0
6906;1;MERCEARIA ALIMENTOS;ACUCAR;cross_docking;E;ACUCAR UNIAO CRISTAL 1KG;18/01/2024;32.0
6906;10;MERCEARIA ALIMENTOS;ACUCAR;cross_docking;E;ACUCAR UNIAO CRISTAL 1KG;01/02/2024;0.0
6906;4;MERCEARIA ALIMENTOS;ACUCAR;cross_docking;E;ACUCAR UNIAO CRISTAL 1KG;07/03/2024;0.0
6955;3;PAS PERECIVEIS AUTO SERVICO;PRODUTOS CONGELADOS;supplier;E;TORTA SADIA IOGURTE FRANGO 500G;06/02/2024;5.0
6955;9;PAS PERECIVEIS AUTO SERVICO;PRODUTOS CONGELADOS;supplier;E;TORTA SADIA IOGURTE FRANGO 500G;06/02/2024;0.0
6955;99;PAS PERECIVEIS AUTO SERVICO;PRODUTOS CONGELADOS;supplier;E;TORTA SADIA IOGURTE FRANGO 500G;;0.0
6962;1;FRENTE DE CAIXA;NAO ALIMENTOS;cross_docking;E;PALHAS FLOR DO NORTE C10;20/02/2024;39.0
7011;99;BAZAR;ENCARTELADOS;supplier;E;CHUMBO DAREX OLICA N1 C10 2044;29/01/2024;0.0
7016;1;FRENTE DE CAIXA;ALIMENTOS;cross_docking;E;CHOC CHOKITO 32G;21/12/2023;39.0
7016;2;FRENTE DE CAIXA;ALIMENTOS;cross_docking;E;CHOC CHOKITO 32G;22/09/2023;22.0
7016;3;FRENTE DE CAIXA;ALIMENTOS;cross_docking;E;CHOC CHOKITO 32G;13/02/2024;14.0
7016;4;FRENTE DE CAIXA;ALIMENTOS;cross_docking;E;CHOC CHOKITO 32G;27/12/2023;0.0
7016;7;FRENTE DE CAIXA;ALIMENTOS;cross_docking;E;CHOC CHOKITO 32G;13/02/2024;0.0
7016;99;FRENTE DE CAIXA;ALIMENTOS;supplier;E;CHOC CHOKITO 32G;28/02/2024;0.0
7018;1;FRENTE DE CAIXA;ALIMENTOS;cross_docking;E;CHOC CHARGE 40G;21/12/2023;35.0
7018;7;FRENTE DE CAIXA;ALIMENTOS;cross_docking;E;CHOC CHARGE 40G;29/02/2024;0.0
7032;7;MERCEARIA ALIMENTOS;LINHA FOODS;cross_docking;E;MOST DAJUDA C192;10/10/2023;0.0
7032;99;MERCEARIA ALIMENTOS;LINHA FOODS;supplier;E;MOST DAJUDA C192;05/03/2024;0.0
7077;2;FRENTE DE CAIXA;ALIMENTOS;cross_docking;E;CHOC NESTLE SENSACAO MORANGO 38G;25/11/2023;1.0
